ID,Expression,SUCCESS,TIME,Expression_Details
sogn_+_1_1_100,x1+x2,1,5.600680828,"add,x1,add,mul,sub,x2,x2,div,add,x1,x1,x2,x2"
sogn_+_1_2_100,x1+x2,1,5.746432066,"sub,add,add,x1,x1,x2,x1"
sogn_+_1_3_100,x1+x2,1,5.248810768,"add,x2,sub,add,x2,x1,x2"
sogn_+_1_4_100,x1+x2+1/x1,0,5.169347763,"sub,x1,add,x2,sub,sub,div,div,div,x2,div,sub,sub,x2,x2,x1,x2,x2,x2,x2,x2"
sogn_+_1_5_100,-x1**2/(-x1-2*x2)+x1+x2,0,6.086126804,"add,sub,x1,div,mul,x1,x1,sub,x1,add,add,x1,add,x1,x2,x2,x2"
sogn_+_1_6_100,x1+x2+1/(x1*(x1+2*x2)),0,5.623859167,"add,x1,mul,div,add,div,div,x2,x2,mul,x1,add,x1,add,x2,x2,x2,x2,x2"
sogn_+_1_7_100,x1+x2-x2/(-x1+2*x2),0,5.649929523,"add,x1,sub,x2,div,x2,sub,x2,sub,x1,x2"
sogn_+_1_8_100,2*x1+x2,0,5.462314606,"add,add,mul,div,x1,x2,x2,x2,x1"
sogn_+_1_9_100,x1-x1/(x1+x2)+x2,0,6.430002928,"add,x1,sub,x2,div,x1,add,x1,x2"
sogn_+_1_10_100,x1+x2,1,5.388558626,"sub,x1,mul,add,sub,sub,mul,mul,x2,sub,x2,x2,x2,div,x2,x2,x2,x2,x2"
sogn_+_1_11_100,x1+x1/(x2*(x1/(-x1+x2/x1)+x2))+x2,0,5.341641665,"add,add,mul,div,div,x1,mul,add,div,x1,sub,div,x2,x1,x1,x2,x2,x2,x2,x2,x1"
sogn_+_1_12_100,x2+(x1*(x2-1)+x1)/x2,0,6.543926477,"add,add,sub,div,add,mul,x1,sub,x2,div,x1,x1,x1,x2,x1,x2,x1"
sogn_+_1_13_100,x1+x2,1,5.512450457,"sub,x2,sub,div,sub,x2,x2,x2,x1"
sogn_+_1_14_100,-x1**3*x2+x1+x2,0,5.473270655,"add,x2,sub,x1,mul,x2,mul,x2,div,mul,x1,x1,div,x2,x1"
sogn_+_1_15_100,x1+x2,1,5.764651537,"add,x1,x2"
sogn_+_1_16_100,x1+x2,1,7.102301598,"add,x2,sub,x1,mul,x1,div,mul,sub,x1,x1,add,x2,mul,sub,div,x2,x1,x1,x2,x2"
sogn_+_1_17_100,x1+x2-(x1+x1/(2*x1-x2))/x2,0,5.709080935,"sub,x2,sub,div,add,x1,div,x1,sub,add,x1,x1,x2,x2,x1"
sogn_+_1_18_100,x1-x1/x2+x2,0,6.344075441,"add,x2,sub,sub,x1,x2,sub,div,x2,mul,x2,div,x2,x1,x2"
sogn_+_1_19_100,x2,0,6.181339502,x2
sogn_+_1_20_100,x1+x2,1,5.542751789,"add,x2,div,mul,x2,x1,x2"
sogn_+_1_21_100,x1+x2,1,6.809509993,"add,x1,sub,x1,sub,x1,x2"
sogn_+_1_22_100,x1+x2,1,5.420031309,"add,sub,sub,mul,add,x2,add,x2,x1,div,x2,x2,x1,x2,x1"
sogn_+_1_23_100,x1+x1/x2+x2,0,7.262522459,"add,add,x2,div,div,mul,add,x1,div,sub,mul,x2,div,x1,x1,x2,x1,x1,x1,x2,x1"
sogn_+_1_24_100,x1+2*x1/x2+x2,0,7.153151989,"add,x2,add,div,x1,x2,add,x1,add,x1,sub,div,x1,x2,x1"
sogn_+_1_25_100,x1+x2+x2/(x1*(-x1+(-x1+2*x2)/x1)),0,5.737412214,"add,add,div,x2,mul,sub,div,sub,add,x2,x1,sub,add,x1,x1,x2,x1,x1,x1,x2,x1"
sogn_+_1_26_100,2*x1+x2-(x1*x2+x1)/x2,0,5.528211594,"add,x1,sub,x2,add,x2,sub,sub,div,sub,add,x1,add,x2,mul,x2,x1,x2,x2,x2,x1"
sogn_+_1_27_100,x1+x2,1,7.058310747,"add,x2,div,x1,div,x2,x2"
sogn_+_1_28_100,x1+x2,1,5.616616249,"add,x1,add,x2,div,mul,div,x2,x1,sub,x2,x2,x1"
sogn_+_1_29_100,2*x1+x1*(x1-x2+2)/x2+x2,0,5.423321486,"add,x1,add,x2,add,x1,div,mul,div,mul,sub,add,div,add,x1,x1,x1,x1,x2,x1,x2,x2,x2"
sogn_+_1_30_100,x1+x2,1,7.814360142,"add,mul,x1,div,x2,x2,x2"
sogn_+_1_31_100,x1+x2,1,7.805828094,"add,sub,x1,x2,add,x2,x2"
sogn_+_1_32_100,x1+x2+(-x1+x2/x1)/x1,0,5.302769423,"add,x2,add,div,div,x1,mul,div,x1,mul,sub,div,x2,x1,x1,x1,x1,x1,x1"
