ID,Expression,SUCCESS,TIME,Expression_Details
sogn_d_1_1_100,x1/x2,1,3.706631899,"div,x1,sub,x2,sub,x1,x1"
sogn_d_1_2_100,x1/x2-1/x2,0,1.962310314,"sub,div,x1,x2,div,mul,x1,sub,div,x2,mul,x2,x2,sub,x2,x2,x1"
sogn_d_1_3_100,x1*(x1*x2-x2)/(x2*(x2+1)),0,2.036045313,"mul,div,x1,x2,div,sub,mul,x2,x1,x2,add,div,x1,x1,x2"
sogn_d_1_4_100,1/(x1*(x1+x2)),0,2.096026182,"div,x1,mul,x1,mul,add,x2,x1,x1"
sogn_d_1_5_100,x1*x2/(x1+x2),0,2.030109882,"add,x2,sub,mul,div,x2,add,x1,x2,x1,x2"
sogn_d_1_6_100,0,0,1.938726902,"div,div,div,sub,x1,x1,add,x1,x1,mul,add,x1,x2,x2,x2"
sogn_d_1_7_100,x1/(-x1+x2*(2*x1-1/2)),0,2.010369062,"div,x1,sub,mul,sub,x1,add,sub,sub,div,x2,add,x2,x2,x2,x1,x2,x2,x1"
sogn_d_1_8_100,0,0,1.948235989,"mul,add,x1,add,sub,x1,add,x1,x2,x2,sub,x1,x1"
sogn_d_1_9_100,0,0,1.999510288,"mul,div,x2,add,add,add,x2,x1,x1,x1,sub,x1,x1"
sogn_d_1_10_100,4*x2-2*(zoo*x1+x1)/x2,0,2.05668807,"div,add,x2,x2,div,x2,add,sub,x2,div,add,div,x1,sub,x2,x2,x1,x2,x2"
sogn_d_1_11_100,x1/(x1+x2),0,1.992046833,"div,x1,mul,x1,div,add,x1,x2,x1"
sogn_d_1_12_100,1/x2,0,2.015233278,"sub,x2,sub,x1,sub,add,add,x2,sub,x1,x2,div,x1,mul,x1,x2,x2"
sogn_d_1_13_100,0,0,2.030851603,"div,sub,x2,x2,sub,x2,add,add,x1,div,x1,div,add,sub,x1,x2,x1,x1,x2"
sogn_d_1_14_100,0,0,2.109746933,"mul,add,div,x1,x1,div,add,x2,mul,x1,x1,x2,sub,x2,x2"
sogn_d_1_15_100,x2*(x1+x2)/x1,0,2.137782335,"div,div,add,x1,x2,add,div,div,x1,x2,x2,sub,x1,x1,x2"
sogn_d_1_16_100,x1*x2**2/(2*x1+x2),0,2.130846977,"mul,mul,div,x2,add,add,add,x1,x2,mul,x1,sub,x2,x2,x1,x1,x2"
sogn_d_1_17_100,0,0,2.048148155,"mul,sub,x2,x2,add,x2,add,x1,mul,x1,x2"
sogn_d_1_18_100,x2*(x2**2-x2)/x1,0,2.153420448,"div,x2,div,x1,sub,mul,x2,x2,x2"
sogn_d_1_19_100,(x1+x2)**2/(x1*(x1+x1*(x1-x2)/x2**2)),0,1.958872557,"mul,add,x2,x1,div,add,x1,x2,mul,add,mul,div,div,sub,x1,x2,x2,x2,x1,x1,x1"
sogn_d_1_20_100,0,0,2.14566493,"sub,x2,sub,x1,sub,x1,x2"
sogn_d_1_21_100,-x2/(x1**2*(-x1+x2)),0,2.077845335,"sub,x2,add,div,mul,x2,div,div,x2,mul,x1,x2,sub,x2,x1,x1,x2"
sogn_d_1_22_100,x2**2/x1,0,2.090807915,"div,x2,div,x1,mul,x2,div,x1,x1"
sogn_d_1_23_100,x2/(x1*x2+x1),0,2.099935055,"div,x2,sub,mul,sub,add,x2,x2,x2,x1,sub,x2,add,x1,x2"
sogn_d_1_24_100,x1**2/(2*x2),0,2.092461824,"mul,x1,div,x1,add,x2,x2"
sogn_d_1_25_100,x2/(x1**2*x2+x2**2),0,2.080945492,"div,x2,sub,mul,x2,x2,sub,x1,add,mul,x2,mul,x1,x1,x1"
sogn_d_1_26_100,x1*(-x1**2-x1),0,2.113103151,"mul,div,x1,x2,mul,x2,sub,mul,x1,sub,x2,add,x2,x1,x1"
sogn_d_1_27_100,0,0,2.013292789,"div,x1,div,x1,div,sub,x1,x1,x2"
sogn_d_1_28_100,x1/(x1*x2+(x2+x2/x1)/x2),0,2.129837751,"div,x1,add,div,add,div,x2,x1,x2,x2,mul,x1,x2"
sogn_d_1_29_100,zoo*x2/x1,0,2.045464993,"div,div,x2,x1,mul,add,x1,x2,sub,x1,x1"
sogn_d_1_30_100,zoo*x1**2,0,2.07545805,"mul,x1,div,x1,mul,sub,x2,x2,sub,sub,x2,sub,x1,sub,x2,x2,x2"
sogn_d_1_31_100,x2**2,0,1.968726397,"div,x2,mul,div,div,add,sub,x2,x2,x2,x1,x2,div,x1,x2"
sogn_d_1_32_100,0,0,2.073075294,"div,sub,add,x2,mul,x1,mul,sub,x1,div,div,x1,x1,x1,sub,x2,x2,x2,x1"
sogn_d_1_33_100,x1/(2*x2**3),0,1.952501535,"mul,div,x1,mul,x2,add,add,x1,sub,x1,x2,x2,div,div,x1,x2,x2"
sogn_d_1_34_100,x1**2/(-x1+x2),0,2.025517702,"mul,div,x1,sub,x2,x1,x1"
sogn_d_1_35_100,(x1+(-x1+x1/(x1-3*x2))/x2)/x1**2,0,1.994468212,"div,div,add,x1,div,sub,div,x1,sub,x2,add,x2,add,sub,x2,sub,x1,x2,x2,x1,x2,x1,x1"
sogn_d_1_36_100,zoo*x1,0,2.105563879,"div,x1,div,sub,x2,x2,div,add,x2,x2,x1"
sogn_d_1_37_100,x1*(-x1*x2**2+x1+x2)/2,0,1.979466438,"mul,sub,x1,sub,mul,x2,mul,x2,x1,x2,mul,div,x2,add,x2,x2,x1"
sogn_d_1_38_100,(-x1**2+x1)/(x1-x2),0,2.141184807,"div,sub,sub,x2,mul,x1,x1,sub,x2,x1,sub,mul,div,x1,x2,x2,x2"
sogn_d_1_39_100,x2/(x1*x2+x1),0,2.067553043,"div,div,x2,div,x2,x2,add,x1,mul,x1,x2"
sogn_d_1_40_100,0,0,2.14144659,"mul,sub,x2,x2,sub,x2,x2"
sogn_d_1_41_100,zoo*x2,0,2.078400612,"sub,x2,sub,x2,div,x2,div,mul,mul,sub,x1,x1,div,mul,x1,x2,x1,x2,x2"
sogn_d_1_42_100,x1/(x2+x2/x1**2),0,2.174659252,"div,x1,add,x2,div,x2,mul,x1,x1"
sogn_d_1_43_100,0,0,2.029746532,"sub,x1,add,x1,sub,x2,x2"
sogn_d_1_44_100,x1*x2/(x1*x2**2*(x2**2-x2)+x2),0,2.177085638,"div,x1,div,add,mul,mul,x2,x1,mul,sub,mul,x2,x2,x2,x2,x2,x2"
sogn_d_1_45_100,x1/(x1**2*(x1+x2)+1),0,2.012958527,"div,x1,add,div,x2,x2,mul,mul,mul,x2,x1,div,add,x1,x2,x2,x1"
sogn_d_1_46_100,x1*x2/(x1+x2),0,2.129126787,"mul,x2,div,x1,add,x2,x1"
sogn_d_1_47_100,0,0,2.025845766,"mul,div,sub,x2,x2,mul,mul,mul,add,mul,mul,x1,add,x2,x2,x1,x1,x2,x1,x2,x2"
sogn_d_1_48_100,x2/(x1*x2+x1),0,2.086441278,"div,x2,add,mul,x1,sub,x2,sub,x1,x1,x1"
sogn_d_1_49_100,x1/(x1*(x1+x2**2)+x2),0,2.028390169,"div,x1,add,x2,mul,mul,x1,div,add,mul,sub,add,x2,x1,x1,x2,x1,x2,x2"
sogn_d_1_50_100,0,0,2.170496464,"mul,sub,x2,x2,add,div,sub,x2,sub,sub,x1,sub,add,sub,x2,x1,x2,x2,x1,x1,x1"
sogn_d_1_51_100,x1/(2*(x1+x2**2/x1)),0,1.957000256,"mul,x1,div,x1,mul,add,x1,mul,x2,div,add,x2,sub,x2,x2,x1,add,x1,x1"
sogn_d_1_52_100,x1**2/(x1+(-2*x1+x2+(x2-1)/(x1*x2))/x1),0,2.091330767,"div,x1,div,add,div,sub,add,x2,sub,div,div,sub,x2,div,x1,x1,x2,x1,x1,x1,x1,x1,x1"
sogn_d_1_53_100,0,0,2.064611912,"mul,div,sub,x1,x1,x2,mul,div,div,x1,add,sub,div,x1,x2,x2,x2,x1,x1"
sogn_d_1_54_100,x1**2/(x1**2/(-x2+x2**(-2))+x1),0,2.070814133,"div,x1,div,add,mul,div,x1,sub,add,sub,div,div,div,x1,x2,x1,x2,x2,x2,x2,x1,x1,x1"
sogn_d_1_55_100,x1/(x1+x2+1/x1),0,1.995221615,"div,x1,add,add,sub,div,x2,mul,x2,x1,sub,x2,x1,x2,x2"
sogn_d_1_56_100,x1+x1*(-x1+1/(-x1-x2+1/2))/x2,0,2.111396074,"add,x1,mul,div,sub,div,x1,mul,sub,sub,div,x2,add,x2,x2,x1,x2,x1,x1,x2,x1"
sogn_d_1_57_100,x2/(x1*(2*x1+2*x2)-x2),0,1.932179213,"mul,x1,div,div,x2,x1,sub,mul,x1,add,add,x2,add,x1,x1,x2,x2"
sogn_d_1_58_100,x1/(x2-1),0,2.139008522,"div,x1,sub,x2,div,x1,sub,x1,sub,x1,x1"
sogn_d_1_59_100,zoo*x1,0,2.100813866,"div,x1,div,mul,x1,sub,x2,div,mul,x1,x2,x1,x1"
sogn_d_1_60_100,x1/(x2*(-x1**2+x2**2)),0,2.218033314,"div,x1,mul,x2,sub,sub,add,mul,x2,x2,x1,mul,x1,x1,x1"
sogn_d_1_61_100,2*x1*x2/(x1/(x1+x2)+1),0,2.025887489,"div,add,x1,x1,add,sub,div,add,div,x1,add,x2,x1,div,x2,x2,x2,x2,x2"
sogn_d_1_62_100,(-x1+x2+(2*x1+x2)/x2)/x2**2,0,2.136181831,"div,div,add,sub,x2,x1,sub,add,div,add,div,mul,add,x1,x2,x2,x2,x1,x2,x1,x1,x2,x2"
sogn_d_1_63_100,1/(x1*x2),0,2.060203791,"div,div,x2,x2,mul,x2,x1"
sogn_d_1_64_100,x1/(x2*(x1-x1*(2*x1+x2)/(x1-x2))),0,2.035371065,"mul,x1,div,x2,mul,mul,sub,x1,mul,div,add,x1,add,x1,x2,sub,x1,x2,x1,x2,x2"
sogn_d_1_65_100,x1**2*x2,0,1.915862799,"mul,x1,div,mul,div,x1,div,mul,mul,x2,x1,div,div,x2,mul,x2,x1,x2,x2,x1,x1"
sogn_d_1_66_100,x1/(x2**4*(x2-1)),0,2.099570036,"div,x1,mul,x2,mul,mul,sub,x2,div,x1,x1,mul,x2,x2,x2"
sogn_d_1_67_100,#DIV/0!,0,2.001557827,"div,x2,div,add,x1,x2,sub,x2,add,x2,div,x1,x2"
sogn_d_1_68_100,zoo*x1*(x1-x1/(x1+x2)),0,2.08218503,"mul,div,x2,sub,x1,x1,div,sub,x1,div,x1,add,x2,x1,div,x2,x1"
sogn_d_1_69_100,0,0,1.954903126,"sub,x1,sub,add,x1,x1,x1"
sogn_d_1_70_100,x2/(2*x1*(x1-x2)+x2**2),0,2.109264135,"div,x2,sub,mul,add,x1,x1,sub,x1,x2,sub,x1,add,mul,x2,x2,x1"
sogn_d_1_71_100,x2**2/(x1*(2*x1+x2+x2/x1)),0,2.024127722,"mul,x2,div,x2,mul,x1,add,div,x2,x1,add,add,x2,x1,x1"
sogn_d_1_72_100,x1*(x2**2+x2)/x2,0,2.103012562,"mul,div,div,x2,mul,x2,div,x2,mul,add,x2,mul,x2,x2,x2,x2,x1"
sogn_d_1_73_100,x1*(zoo*x2+x1)/2,0,1.944149733,"mul,div,x2,add,x2,x2,mul,add,div,x2,mul,div,mul,x1,x1,x1,sub,x1,x1,x1,x1"
sogn_d_1_74_100,x1*(2*x2-x2/(x1-x2))/x2,0,2.101736307,"div,x1,div,mul,x2,div,x2,add,sub,x2,div,x2,sub,x1,x2,x2,x2"
sogn_d_1_75_100,x2/(4*x1+2*x2+1),0,2.069635153,"div,x2,add,x1,add,add,add,x1,add,mul,add,div,x1,x1,x2,div,x2,x2,x1,x2,x1"
