ID,Expression,SUCCESS,TIME,Expression_Details
sogn_x_1_1_100,x1*(zoo*x1**2+x2),0,2.90892911,"mul,add,x2,mul,x1,div,x1,add,sub,div,sub,x1,x1,x1,x1,x1,x1"
sogn_x_1_2_100,x1*x2,1,2.144630671,"mul,add,sub,x2,add,sub,x2,x1,x1,x2,x1"
sogn_x_1_3_100,x1*x2,1,2.139649153,"mul,x2,sub,x1,sub,mul,sub,x1,x1,add,x2,x1,sub,x2,x2"
sogn_x_1_4_100,x2*(x1-1/(x1+x2)),0,2.128525257,"mul,sub,x1,div,div,x1,x1,add,x1,x2,x2"
sogn_x_1_5_100,x1*x2,1,2.218764067,"mul,x2,sub,add,x1,x1,x1"
sogn_x_1_6_100,x1*x2+x1/x2**2,0,2.201490402,"add,mul,x2,x1,div,div,div,x1,x1,div,x2,x1,mul,div,x1,x1,x2"
sogn_x_1_7_100,x1*x2,1,2.041331053,"mul,x2,add,x1,sub,x2,x2"
sogn_x_1_8_100,x1*x2,1,2.105799437,"mul,x2,x1"
sogn_x_1_9_100,x1*(x1*x2*(x1+(-x1*x2**2+x1)/(x2**2+x2))+x2),0,2.173432589,"mul,add,mul,mul,x1,add,div,sub,x1,mul,x2,mul,x1,x2,add,mul,x2,x2,x2,x1,x2,x2,x1"
sogn_x_1_10_100,x1*x2,1,2.121165752,"add,mul,x2,x1,sub,add,x1,x2,add,sub,x2,x2,add,x2,x1"
sogn_x_1_11_100,x1*x2**2/(x2-1/(2*x2)),0,2.152686357,"mul,x2,mul,div,x2,sub,x2,div,div,x1,add,x1,x1,x2,x1"
sogn_x_1_12_100,x1*x2,1,2.141682863,"add,div,sub,x2,x2,x2,mul,x2,x1"
sogn_x_1_13_100,x1*x2+(x1*x2+x2)/x1,0,2.173321247,"add,mul,x1,x2,div,x2,div,x1,div,add,mul,x1,x2,x2,x2"
sogn_x_1_14_100,x2*(x1-x1*(x1-x2)/x2),0,2.140965462,"mul,x2,sub,x1,mul,div,x1,x2,sub,x1,x2"
sogn_x_1_15_100,x1*x2+x2/(x2*(-x1+2*x2)+2*x2),0,2.200615406,"add,mul,x2,x1,div,x2,add,x2,add,mul,x2,add,x2,sub,x2,x1,x2"
sogn_x_1_16_100,x1*(zoo/x2+x2),0,2.129841805,"mul,add,div,div,div,div,x2,div,sub,x2,x2,x1,div,x2,x1,x2,x1,x2,x1"
sogn_x_1_17_100,x1*(zoo*x1**2+x2),0,2.085809231,"mul,add,x2,mul,div,x1,sub,x2,sub,x2,mul,x2,sub,x2,x2,x1,x1"
sogn_x_1_18_100,x1*(zoo*(2*x1-x2)+x2),0,2.079567432,"mul,x1,add,x2,div,sub,add,x1,x1,x2,div,sub,x1,x1,x2"
sogn_x_1_19_100,x1*(x1*(x1*x2+x1)/(x1+x2**2-x2)+x2),0,2.085728168,"mul,x1,add,mul,div,add,x1,mul,x1,x2,sub,x1,sub,x2,mul,x2,x2,x1,x2"
sogn_x_1_20_100,x2*(x1-x2/2),0,2.150389194,"mul,x2,sub,x1,div,div,x2,div,add,x1,sub,div,add,x1,x1,x1,x1,x2,x2"
sogn_x_1_21_100,x2*(x1-1),0,2.071534872,"mul,x2,sub,x1,div,div,x1,x2,div,x1,x2"
sogn_x_1_22_100,x1*x2**2/(-x1/(2*x2**2)+x2),0,2.133771896,"div,mul,x2,mul,x1,x2,sub,x2,div,x1,mul,add,x2,x2,x2"
sogn_x_1_23_100,x1*(x2-1)+x1,0,2.198531866,"add,x1,mul,sub,x2,div,x2,x2,x1"
sogn_x_1_24_100,x2*(x1-1/2),0,2.121105671,"mul,x2,sub,x1,div,x2,div,add,x2,x2,add,x1,sub,div,x2,x2,x1"
sogn_x_1_25_100,x1*x2,1,2.076529741,"div,mul,x2,x1,div,x2,x2"
sogn_x_1_26_100,zoo+x1*x2,0,2.081644297,"sub,mul,x2,x1,div,div,x2,div,sub,x1,add,x2,sub,x1,x2,x2,x2"
sogn_x_1_27_100,x1*(x1/(x1+x2)+x2),0,2.07839179,"mul,add,x2,div,x1,add,x2,x1,x1"
sogn_x_1_28_100,x2*(x1+x2**(-2)),0,2.166901588,"div,mul,x2,mul,add,div,sub,add,x2,x1,x1,mul,mul,x2,x2,x2,x1,x2,x2"
sogn_x_1_29_100,x1*x2-x1/(x1+(-2*x1+2*x2)/x2),0,2.157192469,"sub,mul,x1,x2,div,x1,add,div,sub,x2,add,add,sub,x1,add,x2,x1,x1,x1,x2,x1"
sogn_x_1_30_100,x1*x2,1,2.054417372,"mul,x1,mul,x2,div,sub,sub,add,x1,x2,x1,sub,x1,x1,x2"
sogn_x_1_31_100,x1*(x1/x2+x2),0,2.089628935,"mul,x1,sub,div,x1,x2,div,mul,x2,x1,sub,sub,div,mul,x1,x2,x2,x1,x1"
sogn_x_1_32_100,x2*(x1+x1/(x1**2-x1)),0,2.123082876,"mul,x2,add,x1,mul,mul,div,x1,div,mul,mul,mul,sub,mul,x1,x1,x1,x2,x1,x1,x2,x1,x1"
sogn_x_1_33_100,x1*x2,1,2.089989185,"mul,x1,add,x2,sub,x1,x1"
sogn_x_1_34_100,x1*(x2-x2/(x1+x2)),0,2.055136204,"mul,x1,sub,x2,div,x2,add,x2,x1"
sogn_x_1_35_100,x1*x2,1,2.185142517,"mul,x2,sub,x2,sub,x2,x1"
sogn_x_1_36_100,x1*(x1**3*(-2*x1+2*x2)/x2**2+x2),0,2.092809439,"mul,add,mul,div,mul,add,sub,x2,x1,sub,x2,x1,mul,div,x1,x2,x1,x2,x1,x2,x1"
sogn_x_1_37_100,x2*(x1**2*(x1-x2)/(x2*(x1/x2**2-x2))+x1),0,2.164656162,"mul,add,mul,mul,x1,div,div,sub,x1,x2,sub,div,div,x1,x2,x2,x2,x2,x1,x1,x2"
sogn_x_1_38_100,x1*(x1*(-x1+x2/x1)+x2),0,2.281755924,"mul,x1,sub,x2,sub,sub,x1,mul,mul,div,x1,x2,sub,div,x2,x1,x1,x2,x1"
sogn_x_1_39_100,zoo*x1*x2+x1*x2,0,2.108930349,"sub,mul,x2,x1,div,mul,x2,x1,div,sub,x1,add,sub,x1,x1,x1,x2"
sogn_x_1_40_100,x1*x2**2/(-x1+x2+x2/x1),0,2.184698105,"mul,x1,div,mul,x2,x2,add,div,mul,div,mul,x1,sub,div,x2,x1,x1,x2,x2,x1,x2"
sogn_x_1_41_100,x1*(x1*(-x1+x2**2/(x1*x2-2*x1))/x2+x2),0,2.104656935,"mul,mul,div,add,div,mul,sub,div,mul,x2,x2,sub,mul,x1,x2,add,x1,x1,x1,x1,x2,x2,x2,x1,x2"
sogn_x_1_42_100,x1*(x2+x2/(x1+3*x2)),0,2.159529209,"mul,x1,add,div,x2,add,add,add,x2,x1,x2,mul,div,x2,x2,x2,x2"
sogn_x_1_43_100,x1*x2,1,2.114279509,"mul,mul,div,x2,x2,x2,x1"
sogn_x_1_44_100,-x1**2/x2+x1*x2,0,2.112925768,"sub,mul,x1,x2,div,x1,div,x2,x1"
sogn_x_1_45_100,x1*(x2+x2**2/(x1**3*(x1+x2))),0,2.114242077,"mul,x1,add,x2,div,div,x2,add,x2,x1,mul,div,mul,x1,x1,x2,x1"
sogn_x_1_46_100,x1*x2,1,2.08768034,"add,x1,add,x2,sub,x1,add,sub,x1,sub,mul,add,x1,sub,x1,x1,x2,x2,x1"
sogn_x_1_47_100,x1*(2*x2**2+x2),0,2.12909317,"mul,x1,add,mul,x2,mul,x1,add,div,x1,div,x1,div,add,x2,x2,x1,sub,x2,x2,x2"
sogn_x_1_48_100,x1*(x2-x2**2*(x1+x2+1)/x1),0,2.165038586,"mul,x1,sub,x2,div,x2,div,div,x1,add,add,div,x2,x2,x1,x2,x2"
sogn_x_1_49_100,x1+x2*(-x1*x2+x1)/(x1*(x1-x2)-x2),0,2.062092781,"mul,x1,div,add,mul,sub,x1,mul,x2,x1,div,x2,sub,mul,sub,x1,x2,x1,x2,x1,x1"
sogn_x_1_50_100,x1*x2,1,2.141524792,"mul,add,mul,div,sub,x2,x2,mul,div,mul,x1,x1,x2,x1,x2,x1,x2"
sogn_x_1_51_100,x1*x2,1,2.074396133,"mul,x2,div,x1,div,x2,x2"
sogn_x_1_52_100,x2*(x1-x2/((-x1+x2)*(x1/x2+x2))),0,2.10108161,"mul,x2,sub,x1,div,x2,mul,add,x2,div,x1,x2,sub,x2,x1"
sogn_x_1_53_100,x1*x2,1,2.133042574,"sub,x1,sub,x1,mul,x1,x2"
sogn_x_1_54_100,#DIV/0!,0,2.171488047,"sub,x1,sub,mul,x1,sub,div,sub,add,add,add,x2,x2,x1,x2,x2,x2,x2,x1"
sogn_x_1_55_100,x1*(x2+1/(x1+x2)),0,2.041332245,"mul,x1,add,x2,div,div,x2,x2,add,x2,x1"
sogn_x_1_56_100,x1*x2,1,2.155009747,"mul,add,add,sub,x2,x1,x1,sub,x1,x2,x2"
sogn_x_1_57_100,x1*(x1+x2-(-x2+(x2+(x1-x2)/x2)/x1)/x2),0,2.139552355,"mul,x1,mul,div,sub,add,x2,x1,div,sub,div,add,x2,div,sub,x1,x2,x2,x1,x2,x2,x2,x2"
sogn_x_1_58_100,x2*(x1+x1*(x2-(x1*x2-x1)/x1)/x2),0,2.06869483,"mul,x2,add,mul,x1,div,sub,x2,div,sub,mul,x2,x1,x1,x1,x2,x1"
sogn_x_1_59_100,x1*x2+1/(2*x1**3*x2),0,2.221341372,"add,mul,x1,x2,div,div,x1,mul,x2,mul,x1,mul,x1,x1,add,x1,x1"
sogn_x_1_60_100,x1*(x1/(x1+x2)+x2),0,2.042989254,"mul,add,div,x1,add,x2,x1,x2,x1"
sogn_x_1_61_100,x1*x2,1,2.203932047,"sub,add,mul,x2,x1,x1,x1"
sogn_x_1_62_100,x1*x2,1,1.97811079,"sub,mul,x1,x2,sub,x1,x1"
sogn_x_1_63_100,x1*(x1/(-x1+2*x2)+x2),0,2.212105036,"mul,x1,sub,x1,sub,sub,x1,div,x1,add,sub,x2,x1,x2,x2"
sogn_x_1_64_100,zoo*x1*(x1-x2)+x1*x2,0,2.103565693,"add,x2,add,sub,mul,x1,x2,x2,mul,div,sub,x1,x2,sub,x1,x1,x1"
sogn_x_1_65_100,x1*x2,1,2.12360239,"mul,x1,mul,div,add,x1,sub,sub,x1,x1,sub,x1,x2,x2,x2"
sogn_x_1_66_100,x1*x2-x1/x2**2,0,2.247795343,"sub,mul,x1,x2,div,x1,mul,x2,x2"
sogn_x_1_67_100,x1*x2,1,2.109959841,"mul,add,div,div,sub,x2,x2,mul,mul,mul,x1,x1,mul,x1,sub,x1,x2,x2,x1,x2,x1"
sogn_x_1_68_100,x1**2*x2/(x1+1)+x1*x2,0,2.111778021,"add,mul,x1,x2,div,x1,div,div,add,div,x2,x2,x1,x1,x2"
sogn_x_1_69_100,-x1**2+x1*(x1+x2),0,2.113156319,"sub,mul,x1,sub,add,x1,x1,sub,sub,add,x2,x1,x2,x2,mul,x1,x1"
sogn_x_1_70_100,x1*x2,1,2.169185638,"mul,x1,sub,x2,mul,mul,sub,x1,x1,x2,x2"
sogn_x_1_71_100,x1*x2,1,2.203442812,"mul,x2,add,x1,mul,sub,x2,x2,div,x1,x1"
sogn_x_1_72_100,x1*(x2-x2/(x1*x2-2*x1+x2)),0,2.106458664,"mul,x1,sub,x2,div,x2,sub,x2,sub,x1,sub,mul,x1,x2,x1"
sogn_x_1_73_100,#DIV/0!,0,2.166811228,"sub,div,add,sub,x1,x2,sub,add,add,x2,mul,add,x1,mul,x2,x1,x2,x2,x2,x2,x1"
sogn_x_1_74_100,x1*x2**2/(-2*x1**2+x1+x2),0,2.144429445,"mul,x1,mul,x2,div,x2,add,x1,sub,x2,mul,x1,add,x1,x1"
sogn_x_1_75_100,x2*(x1+(x1/x2+(x1**2*x2+x1+x2)/x2)/x2),0,2.192121744,"mul,add,x1,div,add,div,x1,x2,div,add,x2,add,mul,mul,x1,x2,x1,x1,x2,x2,x2"
sogn_x_1_76_100,x1*(x1/x2+x2+x2**2/x1**2),0,2.132211208,"mul,x1,add,div,x1,x2,add,div,sub,div,x2,x1,sub,x1,x1,div,x1,x2,x2"
sogn_x_1_77_100,x1/(-x1+x2)-x2**2,0,2.177208424,"sub,div,x1,sub,x2,x1,mul,sub,div,x1,div,x1,add,x2,x1,x1,x2"
sogn_x_1_78_100,x1*(x1/x2+x2),0,2.093857288,"mul,x1,add,x2,add,div,div,mul,x2,x1,x2,x2,sub,div,mul,x2,x2,x2,x2"
sogn_x_1_79_100,zoo*(x1+x2)/x2**2+x1*x2,0,2.109686136,"add,mul,x1,x2,div,div,div,add,x2,x1,x2,x2,mul,sub,x2,x2,x2"
sogn_x_1_80_100,x1*(x1/(2*x2)+x2),0,2.194359064,"add,sub,x1,x1,mul,x1,add,x2,div,div,mul,x1,x1,add,x2,x2,x1"
sogn_x_1_81_100,x1*(x2+1/2),0,2.056668997,"mul,x1,add,div,x1,add,x1,x1,x2"
sogn_x_1_82_100,x2*(-x1**2/x2+x1),0,2.130778551,"mul,x2,sub,x1,div,x1,div,x2,x1"
sogn_x_1_83_100,x1*x2**2/(-x1+x2),0,2.149038553,"mul,x1,mul,x2,div,x2,sub,x2,x1"
sogn_x_1_84_100,x1*(-x1/x2+x2),0,2.102068901,"mul,x1,sub,x1,add,x1,sub,div,x1,div,mul,x2,x2,x2,x2"
sogn_x_1_85_100,x1*x2,1,2.03750515,"mul,x1,mul,div,x1,x1,x2"
sogn_x_1_86_100,x1*x2,1,2.147772789,"add,mul,div,x2,x2,sub,sub,sub,add,x1,mul,x1,x2,x2,x2,sub,x1,x2,x2"
sogn_x_1_87_100,x1**2,0,2.140291929,"mul,sub,x1,add,x1,x2,mul,div,x1,sub,sub,x1,x2,x1,x1"
sogn_x_1_88_100,x2*(x1+x2/(x1*(-x1+2*x2))),0,2.089177847,"mul,x2,add,div,x2,mul,sub,add,sub,x2,x1,add,x2,x2,x2,x1,x1"
sogn_x_1_89_100,x1*x2,1,2.135911226,"div,mul,x1,mul,x2,x2,x2"
sogn_x_1_90_100,x2*(x1+x2**3*(x1+x2)),0,2.146826982,"mul,add,mul,x2,mul,x2,add,x2,sub,div,add,x2,x1,div,x2,mul,x2,x2,x2,x1,x2"
sogn_x_1_91_100,x1*x2,1,2.119291306,"mul,x1,add,x2,mul,sub,x2,x2,x2"
sogn_x_1_92_100,x1*x2**2/(x2-x2/(x1+x2)),0,2.183646679,"sub,add,mul,x1,mul,x2,div,x2,sub,x2,div,x2,add,x2,x1,x2,x2"
sogn_x_1_93_100,x1*x2-1/2,0,2.152463675,"sub,add,mul,x1,x2,x1,add,x1,div,x2,add,x2,x2"
sogn_x_1_94_100,x1*x2,1,2.120290756,"add,x1,sub,add,x2,mul,x2,x1,add,x2,x1"
sogn_x_1_95_100,x2*(x1-2*x2/(2*x1+3*x2)),0,2.223196983,"mul,sub,x1,mul,x2,div,add,x1,x1,mul,add,add,add,x1,add,x2,x2,x1,x2,x1,x2"
sogn_x_1_96_100,x2*(x1+x1/x2),0,2.238095999,"mul,x2,add,x1,div,x1,x2"
sogn_x_1_97_100,x1*x2+x1/x2,0,2.112318993,"add,mul,x1,x2,div,x1,x2"
sogn_x_1_98_100,x1*x2,1,2.125066519,"mul,x1,sub,x2,mul,x2,sub,x1,x1"
sogn_x_1_99_100,x1*(-x1/(2*x2)+x2),0,2.119515657,"mul,x1,add,x2,sub,x1,add,mul,x1,div,div,x1,add,x1,x1,x2,x1"
sogn_x_1_100_100,x1*(-x1**2/(x1+x2)+x2),0,2.076433659,"mul,x1,sub,x2,mul,div,x1,x1,mul,div,x1,add,x2,x1,x1"
sogn_x_2_1_100,x1*x2,1,2.113716602,"mul,mul,sub,x1,sub,x1,x1,x2,div,x1,x1"
sogn_x_2_2_100,x1*x2,1,2.078261375,"mul,div,mul,x1,x2,x1,x1"
sogn_x_2_3_100,x1*x2**2/(x2-1/x2),0,2.065780163,"mul,mul,div,x2,mul,div,x2,x2,sub,x2,div,x1,mul,x1,x2,x2,x1"
sogn_x_2_4_100,x1*x2,1,2.088397264,"mul,add,add,add,x1,x2,sub,x2,add,x1,add,x2,x2,x2,x1"
sogn_x_2_5_100,-2*x1**2+x1*(x1+x2),0,2.032263756,"sub,mul,x1,add,x1,x2,mul,add,mul,x2,div,x1,x2,x1,x1"
sogn_x_2_6_100,x1*(-x1/(-x1+3*x2)+x2),0,2.145136356,"mul,x1,sub,x2,div,x1,add,sub,add,x2,sub,add,x1,x2,x1,x1,x2"
sogn_x_2_7_100,x1*x2,1,2.079991579,"mul,add,sub,x2,x1,x1,x1"
sogn_x_2_8_100,x1*(x2+x2/(2*x2-1)),0,2.193035603,"mul,add,div,x2,sub,add,sub,div,mul,x2,x1,x1,sub,div,x2,x2,x2,x2,x2,x2,x1"
sogn_x_2_9_100,nan,0,2.059572458,"mul,x2,sub,add,add,mul,div,sub,x1,x1,mul,x1,sub,x1,x1,x2,x1,x1,x1"
sogn_x_2_10_100,x1*x2,1,2.159827709,"add,div,sub,x1,x1,x2,mul,x1,x2"
sogn_x_2_11_100,#DIV/0!,0,2.103340387,"sub,mul,x2,x1,div,mul,mul,x1,mul,sub,x1,x2,div,x2,add,x1,x2,x2,x2"
sogn_x_2_12_100,x1*x2**2/(-x1+x2+x2/x1),0,2.169370413,"mul,x1,div,mul,x2,x2,add,div,mul,div,mul,x1,sub,div,x2,x1,x1,x2,x2,x1,x2"
sogn_x_2_13_100,x1*(x1*(-x1+x2**2/(x1*x2-2*x1))/x2+x2),0,2.05057025,"mul,mul,div,add,div,mul,sub,div,mul,x2,x2,sub,mul,x1,x2,add,x1,x1,x1,x1,x2,x2,x2,x1,x2"
sogn_x_2_14_100,x1*(x2+x2/(x1+3*x2)),0,2.221157074,"mul,x1,add,div,x2,add,add,add,x2,x1,x2,mul,div,x2,x2,x2,x2"
sogn_x_2_15_100,x1*x2,1,2.212887049,"mul,mul,div,x2,x2,x2,x1"
sogn_x_2_16_100,-x1**2/x2+x1*x2,0,2.062408924,"sub,mul,x1,x2,div,x1,div,x2,x1"
sogn_x_2_17_100,x1*(x2+x2**2/(x1**3*(x1+x2))),0,2.151764393,"mul,x1,add,x2,div,div,x2,add,x2,x1,mul,div,mul,x1,x1,x2,x1"
sogn_x_2_18_100,x1*x2,1,2.150872707,"add,x1,add,x2,sub,x1,add,sub,x1,sub,mul,add,x1,sub,x1,x1,x2,x2,x1"
sogn_x_2_19_100,x1*(2*x2**2+x2),0,2.185006142,"mul,x1,add,mul,x2,mul,x1,add,div,x1,div,x1,div,add,x2,x2,x1,sub,x2,x2,x2"
sogn_x_2_20_100,x1*x2,1,2.134209633,"mul,x1,sub,x2,sub,x2,x2"
sogn_x_2_21_100,x1*(x2+x2*(x1+x2)/x1),0,2.20452404,"mul,x1,add,div,x2,div,x1,add,x1,x2,x2"
